subject,age,gender,edu,english,encoding_instruction_condition,encoding_task_condition,recall_instruction_condition,aware,list,output 1,output 2,output 3,output 4,output 5,output 6,output 7,output 8,output 9,output 10,output 11,output 12,output 13,output 14,output 15,output 16,output 17,output 18,output 19,output 20,output 21,output 22,output 23,output 24,output 25
110,,,,,Incidental,Animacy,Free,no,0,16,7,15,3,14,,,,,,,,,,,,,,,,,,,,
110,,,,,Incidental,Animacy,Free,no,1,12,-999,8,15,7,,,,,,,,,,,,,,,,,,,,
111,,,,,Incidental,Animacy,Free,no,0,7,16,15,3,14,12,5,,,,,,,,,,,,,,,,,,
111,,,,,Incidental,Animacy,Free,no,1,13,5,10,3,2,4,8,11,,,,,,,,,,,,,,,,,
112,,,,,Incidental,Animacy,Free,no,0,14,15,12,6,7,3,5,16,11,2,,,,,,,,,,,,,,,
112,,,,,Incidental,Animacy,Free,no,1,16,4,3,5,-1,,,,,,,,,,,,,,,,,,,,
113,,,,,Incidental,Animacy,Free,no,0,6,3,9,13,2,,,,,,,,,,,,,,,,,,,,
113,,,,,Incidental,Animacy,Free,no,1,2,7,-1,3,,,,,,,,,,,,,,,,,,,,,
114,,,,,Incidental,Animacy,Free,no,0,3,11,1,9,7,16,5,,,,,,,,,,,,,,,,,,
114,,,,,Incidental,Animacy,Free,no,1,13,5,3,1,10,11,2,12,7,,,,,,,,,,,,,,,,
115,,,,,Incidental,Animacy,Free,no,0,8,9,2,1,6,13,4,3,,,,,,,,,,,,,,,,,
115,,,,,Incidental,Animacy,Free,no,1,9,12,3,5,7,-999,15,,,,,,,,,,,,,,,,,,
116,,,,,Incidental,Animacy,Free,no,0,9,8,14,15,13,12,7,,,,,,,,,,,,,,,,,,
116,,,,,Incidental,Animacy,Free,no,1,2,10,1,16,15,14,13,,,,,,,,,,,,,,,,,,
117,,,,,Incidental,Animacy,Free,no,0,6,11,15,9,13,12,6,,,,,,,,,,,,,,,,,,
117,,,,,Incidental,Animacy,Free,no,1,12,15,16,,,,,,,,,,,,,,,,,,,,,,
118,,,,,Incidental,Animacy,Free,no,0,10,16,11,12,14,,,,,,,,,,,,,,,,,,,,
118,,,,,Incidental,Animacy,Free,no,1,12,13,16,-999,13,,,,,,,,,,,,,,,,,,,,
119,,,,,Incidental,Animacy,Free,no,0,9,15,11,8,,,,,,,,,,,,,,,,,,,,,
119,,,,,Incidental,Animacy,Free,no,1,13,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,Incidental,Animacy,Free,no,0,7,8,-999,,,,,,,,,,,,,,,,,,,,,,
120,,,,,Incidental,Animacy,Free,no,1,1,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,Incidental,Animacy,Free,no,0,13,14,4,,,,,,,,,,,,,,,,,,,,,,
